FEI Number,Legal Name,City,State,Zip,Country/Area,Fiscal Year,Inspection ID,Posted Citations,Inspection End Date,Classification,Project Area,Product Type,FMD-145 Date
3003972309,Northwell Health Fertility,Manhasset,New York,11030,United States,2022,1174916,No,07/20/2022,No Action Indicated (NAI),Vaccines and Allergenic Products,Biologics,-
1474020,Methodist Medical Center of Illinois,Peoria,Illinois,61636,United States,2022,1174914,No,07/18/2022,No Action Indicated (NAI),Blood and Blood Products,Biologics,-
1474020,Methodist Medical Center of Illinois,Peoria,Illinois,61636,United States,2022,1174914,No,07/18/2022,No Action Indicated (NAI),Vaccines and Allergenic Products,Biologics,-
3020343297,Cedarville University IRB,Cedarville,Ohio,45314,United States,2022,1174948,No,07/14/2022,No Action Indicated (NAI),Bioresearch Monitoring,Biologics,-
3015335677,Stony Brook Community Medical PC - Island Fertility,Commack,New York,11725,United States,2022,1174352,No,07/13/2022,No Action Indicated (NAI),Vaccines and Allergenic Products,Biologics,-
3013452416,KEDPLASMA LLC,Bradenton,Florida,34205,United States,2022,1174383,No,07/13/2022,No Action Indicated (NAI),Blood and Blood Products,Biologics,-
3013452416,KEDPLASMA LLC,Bradenton,Florida,34205,United States,2022,1174383,No,07/13/2022,No Action Indicated (NAI),Vaccines and Allergenic Products,Biologics,-
3009838443,The Cord Blood Bank of Arkansas (UAMS),Little Rock,Arkansas,72205,United States,2022,1174887,No,07/13/2022,No Action Indicated (NAI),Blood and Blood Products,Biologics,-
3009838443,The Cord Blood Bank of Arkansas (UAMS),Little Rock,Arkansas,72205,United States,2022,1174887,No,07/13/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3009838443,The Cord Blood Bank of Arkansas (UAMS),Little Rock,Arkansas,72205,United States,2022,1174887,No,07/13/2022,No Action Indicated (NAI),Vaccines and Allergenic Products,Biologics,-
3017451050,Xytex Laboratories,Marietta,Georgia,30060,United States,2022,1175637,No,07/13/2022,No Action Indicated (NAI),Blood and Blood Products,Biologics,-
3017451050,Xytex Laboratories,Marietta,Georgia,30060,United States,2022,1175637,No,07/13/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3017451050,Xytex Laboratories,Marietta,Georgia,30060,United States,2022,1175637,No,07/13/2022,No Action Indicated (NAI),Vaccines and Allergenic Products,Biologics,-
3012822744,"Eurofins Donor & Product Testing, Inc. Atlanta",Marietta,Georgia,30067,United States,2022,1174965,No,07/12/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3012822744,"Eurofins Donor & Product Testing, Inc. Atlanta",Marietta,Georgia,30067,United States,2022,1174965,No,07/12/2022,No Action Indicated (NAI),Vaccines and Allergenic Products,Biologics,-
3013225167,Aspire Fertility Institute McAllen,Mcallen,Texas,78504,United States,2022,1175325,No,07/12/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3013225167,Aspire Fertility Institute McAllen,Mcallen,Texas,78504,United States,2022,1175325,No,07/12/2022,No Action Indicated (NAI),Vaccines and Allergenic Products,Biologics,-
1073631,W.G. Hefner Veteran Administration Medical Center,Salisbury,North Carolina,28144,United States,2022,1174342,No,07/11/2022,No Action Indicated (NAI),Blood and Blood Products,Biologics,-
1073631,W.G. Hefner Veteran Administration Medical Center,Salisbury,North Carolina,28144,United States,2022,1174342,No,07/11/2022,No Action Indicated (NAI),Vaccines and Allergenic Products,Biologics,-
3006521911,"Biomat USA, Inc.",Mcallen,Texas,78501,United States,2022,1175252,No,07/08/2022,No Action Indicated (NAI),Blood and Blood Products,Biologics,-
3006521911,"Biomat USA, Inc.",Mcallen,Texas,78501,United States,2022,1175252,No,07/08/2022,No Action Indicated (NAI),Vaccines and Allergenic Products,Biologics,-
